Postcode,Median_Income
2575,39869.14286
2576,38488.14286
2577,38222.28571
2578,33686.57143
2579,37132.14286
2580,40980.42857
2581,43790
2582,47472.28571
2583,34657.85714
2584,36571.57143
2586,35243
2587,36606.85714
2588,39663.71429
2590,37104.14286
2594,36324.57143
2618,50930
2619,66010.14286
2620,52490.85714
2621,56561.14286
2622,36058.42857
2623,49299.57143
2625,33360.75
2626,46930.28571
2627,38419.57143
2628,36010.28571
2629,30843.8
2630,39202.85714
2631,34527.42857
2632,40258
2633,32273.28571
2640,41932.42857
2641,38258.57143
2642,38717
2643,36974.14286
2644,35744.28571
2645,36432.71429
2646,36818.42857
2647,35658.85714
2648,32330.14286
2650,42997.28571
2651,44428.71429
2652,38732.28571
2653,38521.85714
2655,38917.57143
2656,37865.57143
2658,33367.28571
2659,33825.28571
2660,36501.71429
2663,39512.28571
2665,31490.85714
2666,35105.28571
2668,30126
2669,33316.85714
2671,36584.42857
2672,35253
2675,37996.28571
2680,40310.71429
2681,39978
2700,37087
2701,39971.57143
2702,36502.42857
2703,39440.85714
2705,39909.57143
2706,41453.42857
2707,36702.71429
2710,36106.42857
2711,36682.42857
2712,34049.28571
2713,33521.57143
2714,32656.71429
2715,37408.57143
2716,36077.57143
2717,33420.14286
2720,41467.71429
2722,36113.71429
2727,33885.85714
2729,37446
2730,35588.85714
2731,37475.85714
2732,31342
2733,36079.42857
2736,28904.25
2737,36630.71429
2738,40804.71429
2739,37137
2745,50992.85714
2747,45976.85714
2748,46129.57143
2749,47814.14286
2750,46307.57143
2751,46868
2752,47826.85714
2753,43453.71429
2754,43379.71429
2756,45527.71429
2757,41268.71429
2758,45271.14286
2759,46977.28571
2760,44166.57143
2761,46000.57143
2762,49119
2763,48145.28571
2765,45742.85714
2766,44570.71429
2767,44801.14286
2768,50458.28571
2769,60596
2770,40357.85714
2773,49646.28571
2774,47690.85714
2775,38089.28571
2776,47281.85714
2777,45545.71429
2778,44315.85714
2779,43064.71429
2780,35377.14286
2782,39312.28571
2783,40537.71429
2784,41516.85714
2785,36193.42857
2786,35970.28571
2787,40892.71429
2790,40523.14286
2792,36595.33333
2793,31979
2794,35421
2795,42361.28571
2797,34377.28571
2798,42677.28571
2799,39761.71429
2800,43036.14286
2804,34336.85714
2805,34159.85714
2806,36443.28571
2810,34489
2818,43847
2820,35157.42857
2821,37110.71429
2823,36790.42857
2824,38879
2825,40475
2827,34808.85714
2828,30698
2829,36702.57143
2830,42315.14286
2831,33750.71429
2832,34399.85714
2833,34180.71429
2834,29623.71429
2835,50008.28571
2836,36949.85714
2839,38624.28571
2840,41250
2842,27434.71429
2843,30233.71429
2844,34053.14286
2845,42704.57143
2847,39357.14286
2848,31125.57143
2849,31905.85714
2850,38631.85714
2852,35031.42857
2864,38306.28571
2865,38860.28571
2866,37677.28571
2867,33312.71429
2868,31347
2869,30859.57143
2870,38893
2871,37326.71429
2873,31695.42857
2874,32665.28571
2875,31174.28571
2876,26567
2877,35094.28571
2879,41341.71429
2880,41410.57143
2898,39023.42857
2899,30924
800,48377
801,60398.42857
804,54403
810,51470.14286
811,61107
812,52515.85714
814,50859.25
820,57962.42857
821,57243.28571
822,31903.71429
828,53515.42857
829,61947
830,55426.85714
831,60079.85714
832,59623.28571
834,58539.4
835,56489.71429
836,54540.71429
837,46775.28571
838,56448.2
839,60618
841,57542.8
845,43237.28571
846,43456
850,48861
851,50470.85714
852,29564.57143
853,64931.42857
854,33708.85714
860,49536.57143
861,43137.42857
862,34651
870,49765
871,51372.85714
872,30578.85714
873,54574
875,49339.66667
880,45542
881,52933.14286
885,69358.14286
886,51994.85714
4000,35045.85714
4001,40672
4005,56469.14286
4006,47389.57143
4007,53920.28571
4008,48112
4010,49050.71429
4011,51613.14286
4012,50403.57143
4013,48554.85714
4014,48179
4017,45313
4018,44341.14286
4019,41261.14286
4020,40717.28571
4021,38967.14286
4022,38877.14286
4030,49503.71429
4031,51381
4032,42957.85714
4034,44029.85714
4035,48225.28571
4036,44484
4037,50689.14286
4051,52393
4053,48166.71429
4054,45190.71429
4055,48968.85714
4059,45484.71429
4060,53792.14286
4061,48904.71429
4064,52211.28571
4065,56798.85714
4066,46812
4067,36314.14286
4068,45331
4069,50025
4070,48694.57143
4073,50912.28571
4074,45885
4075,49171.28571
4076,39440
4077,36782.85714
4078,45024.85714
4101,44376.42857
4102,40380.42857
4103,43790.85714
4104,48734.14286
4105,47080.42857
4106,41559.42857
4107,43835.57143
4108,36373.14286
4109,32233.71429
4110,40949
4111,36942.42857
4112,39448.42857
4113,35387
4114,35878.42857
4115,43155.28571
4116,38987
4117,46421.6
4118,42768.57143
4119,41543.28571
4120,47206.14286
4121,50831
4122,42463.28571
4123,44506
4124,44031.28571
4125,40533.71429
4127,42098
4128,45260.85714
4129,43699.71429
4130,44772.14286
4131,39110
4132,39749.14286
4133,40893.14286
4151,50158.71429
4152,49116.42857
4153,48176
4154,55166.42857
4155,50616.14286
4156,49360
4157,44029
4158,45379.14286
4159,44488
4160,45368.28571
4161,43648.14286
4163,42478
4164,45551.14286
4165,44408.14286
4169,46846.85714
4170,52008.57143
4171,59034.71429
4172,49809.85714
4173,47262.85714
4174,47025.71429
4178,45471.71429
4179,47665.57143
4183,34522.71429
4184,28443.28571
4205,39980.42857
4207,40796
4208,45003
4209,41478.42857
4210,42799.42857
4211,39663.42857
4212,41268.28571
4213,39493
4214,38445
4215,35647.28571
4216,38474.14286
4217,35319.57143
4218,39364
4219,34193
4220,39776.42857
4221,38909.42857
4223,38586.85714
4224,39857.57143
4225,35656.71429
4226,38461.57143
4227,39286.57143
4228,38353.57143
4230,35415.8
4270,42925.71429
4271,36396
4272,34246.14286
4275,39083.42857
4280,43831.42857
4285,39514.57143
4287,31784.42857
4300,45452.57143
4301,41570.57143
4303,38052.71429
4304,40975.14286
4305,42664.14286
4306,45838.71429
4307,38293.57143
4309,35291.71429
4310,34296.14286
4311,37848.85714
4312,33841.14286
4313,31645
4314,30140
4340,37697.85714
4341,39136.14286
4342,36442.71429
4343,32299.14286
4344,38062.42857
4346,42578.42857
4347,35564.57143
4350,41322.42857
4352,42516.42857
4353,30528.8
4354,37436.28571
4355,30204.14286
4356,35840.28571
4357,34413.57143
4358,38970.28571
4359,37254.14286
4360,30377.71429
4361,29703.14286
4362,31087.57143
4363,35853.85714
4364,46641.33333
4365,31050.4
4370,35170.28571
4371,28491.28571
4373,31054.57143
4374,31291.8
4377,27836
4378,31745.66667
4380,29817.71429
4381,29328.71429
4382,28210.14286
4383,29510.28571
4385,30607
4387,31848.57143
4388,26161.71429
4390,39435.14286
4400,42340
4401,40382.14286
4403,36006.71429
4404,35986.71429
4405,41110.57143
4406,28883.85714
4407,34078
4408,28739.14286
4410,30506.14286
4413,40115.85714
4415,37289
4416,36722.71429
4417,38386.57143
4419,32347.14286
4420,35072.85714
4421,33062.71429
4422,30209.85714
4427,22971
4428,31678.85714
4454,32641.42857
4455,44393.42857
4465,30915.42857
4468,24290.85714
4470,40964.85714
4472,35020.28571
4477,33351.71429
4478,34975
4480,38099.57143
4486,33785.71429
4487,37765.57143
4490,34625.57143
4496,41753
4497,31737
4500,44759.85714
4501,41923.71429
4502,44151
4503,43543.57143
4504,45390
4505,41740.42857
4506,38703.14286
4507,33209.71429
4508,38681
4509,46756.71429
4510,36599.14286
4511,36748.14286
4512,38893.14286
4514,38142.57143
4515,38554.71429
4516,40198.28571
4517,40463.85714
4518,37706.14286
4519,36520.57143
4520,48318.42857
4521,44152.28571
4550,36708.71429
4551,37156.14286
4552,29956.85714
4553,38574.28571
4554,36323.42857
4555,37898.28571
4556,37929.85714
4557,38556.28571
4558,36304.85714
4559,37561.42857
4560,36557.14286
4561,37091.85714
4562,34513.57143
4563,34491.42857
4564,37333.57143
4565,33715.57143
4566,34467.85714
4567,35546.85714
4568,34203.85714
4569,32659.14286
4570,33815.85714
4571,28368
4572,39986.71429
4573,37940.42857
4574,31314.42857
4575,39341.28571
4580,26482
4581,29420.57143
4600,28582.71429
4601,23993.57143
4605,31452.42857
4606,34163
4608,32711.71429
4610,36582.28571
4613,24403.42857
4614,31024.14286
4615,32031.85714
4620,29828
4621,26630.42857
4625,30513
4626,29315.42857
4627,29584.71429
4630,29352.28571
4650,35876.42857
4655,34423.28571
4659,30593.28571
4660,29859
4662,32216.42857
4670,36023.57143
4671,27407.28571
4673,30557.71429
4674,27436.71429
4677,32197.71429
4678,38345.71429
4680,53253.14286
4695,47367.85714
4699,37582.85714
4700,44252.71429
4701,44649.14286
4702,42128.42857
4703,42973.14286
4705,33898.85714
4709,76629.14286
4710,39633.28571
4711,49619.42857
4712,44307.6
4713,34776.85714
4714,37585.28571
4715,45983.42857
4716,38667.28571
4717,67261
4718,46962.28571
4719,37586.85714
4720,49787.14286
4721,46723
4722,41858.57143
4723,42973.57143
4724,39282
4725,41146.28571
4726,31005.42857
4730,41259.71429
4735,37671.71429
4737,44986.85714
4738,39697.85714
4740,48198.85714
4741,43199.14286
4742,48547.28571
4743,69616.85714
4744,72449.71429
4745,68341.71429
4746,74219.57143
4750,49515.14286
4751,49630.57143
4753,52101.28571
4754,45665.42857
4756,34645.28571
4798,37697.14286
4799,34436.42857
4800,40057.57143
4801,31824
4802,39352.42857
4803,40254.71429
4804,43930.28571
4805,35739.85714
4806,40095.57143
4807,39909.71429
4808,41278.42857
4809,39269.57143
4810,48163.85714
4811,48034.14286
4812,44221.14286
4813,56928.42857
4814,45316.42857
4815,42376.85714
4816,39778.14286
4817,46656
4818,48853.28571
4819,32550.42857
4820,40595.57143
4821,37118.85714
4822,37620.85714
4823,39627.28571
4824,53012
4825,58587.14286
4829,44924.14286
4830,32196.85714
4849,31201.71429
4850,38143.42857
4852,33403
4854,34282.85714
4855,33278.28571
4856,33969
4858,38248.71429
4859,37127.71429
4860,35083.85714
4861,36540.14286
4865,42310.14286
4868,42245.85714
4869,42882.71429
4870,40483.57143
4871,32526.28571
4872,30375.42857
4873,35905.57143
4874,65518.42857
4875,40134.85714
4876,35886.71429
4877,34970.57143
4878,41530.85714
4879,42300.14286
4880,35425.14286
4881,34125.42857
4882,35409.42857
4883,34723
4884,33604.28571
4885,32959.28571
4886,26811.28571
4887,32207
4888,29942.57143
4890,41656.42857
4891,38791.85714
4892,32230.66667
4895,35618.57143
9726,22505.66667
5000,40916
5001,39139
5006,51021.85714
5007,44669.85714
5008,40459.57143
5009,41072.28571
5010,37775.71429
5011,43137.14286
5012,35313.71429
5013,39739.14286
5014,42175.42857
5015,44199
5016,45719
5017,41139.14286
5018,44936.57143
5019,44667.71429
5020,43698.57143
5021,42708.14286
5022,46487.42857
5023,39784.28571
5024,42308.14286
5025,41923.85714
5031,42686.71429
5032,42018.85714
5033,40812.57143
5034,48002
5035,42266.14286
5037,40781.71429
5038,40713.28571
5039,41611
5040,40703.57143
5041,45678.85714
5042,37095.85714
5043,39482.85714
5044,46405.14286
5045,45061.14286
5046,41019.57143
5047,39418.14286
5048,42999.85714
5049,43020.57143
5050,41671.71429
5051,46094.28571
5052,46015.57143
5061,52538
5062,47730.57143
5063,47783.57143
5064,47560.28571
5065,47296.14286
5066,49855.14286
5067,48089.42857
5068,45922
5069,49409.71429
5070,41623.71429
5072,44062.57143
5073,40895.57143
5074,39028.28571
5075,40425.42857
5076,42271.57143
5081,50749.57143
5082,45911.71429
5083,44886.71429
5084,35055
5085,42047.85714
5086,41463.28571
5087,40257.71429
5088,39821.42857
5089,44327
5090,39518.85714
5091,42784.28571
5092,41099
5093,39823.42857
5094,37449.14286
5095,43303
5096,40147.42857
5097,42455.85714
5098,40388.57143
5107,38691.57143
5108,39214.42857
5109,40652.28571
5110,40759
5111,62323.8
5112,37749.42857
5113,34683.85714
5114,41603.57143
5115,40641
5116,41167.14286
5117,44240.14286
5118,42696.71429
5120,38011.28571
5121,37254.42857
5125,46512.71429
5126,43661.14286
5127,44592.14286
5131,40958.28571
5132,46139.57143
5133,43001.57143
5134,39712.85714
5136,43438.28571
5137,44049
5140,51896.85714
5141,42316.85714
5142,41921.57143
5144,42948.28571
5151,47319.85714
5152,48949.28571
5153,41698.42857
5154,47503.14286
5155,44718.57143
5156,45979.57143
5157,40273.28571
5158,43302
5159,42737.85714
5161,40844.57143
5162,39748.85714
5163,37660.57143
5164,35295.85714
5165,36613.57143
5166,38086.71429
5167,40441.71429
5168,38687.57143
5169,40433.71429
5170,37722
5171,38793.57143
5172,38144.28571
5173,37317.42857
5174,37508.85714
5201,38986.14286
5202,36545.85714
5203,32824.28571
5204,30829
5210,37314.14286
5211,31225.42857
5212,29823
5213,34411.42857
5214,30235.71429
5220,31759.28571
5222,30999
5223,32951.28571
5231,42340.71429
5232,39620.85714
5233,40471
5234,40355
5235,36153.57143
5237,36877.66667
5238,31781.14286
5240,37087.57143
5241,41039
5242,43327.71429
5243,43266.57143
5244,40427.71429
5245,40458.14286
5250,44010.28571
5251,41322.57143
5252,41327
5253,35416.71429
5254,35179.28571
5255,37366.42857
5256,32147.42857
5259,31537.85714
5260,34112.57143
5261,36382.42857
5262,38367
5264,34462.14286
5265,33131.85714
5266,35309.28571
5267,37609.42857
5268,36896.85714
5270,35944.85714
5271,37592.28571
5272,37736
5275,37155.57143
5276,33547.14286
5277,39278.28571
5278,37880
5279,38379.75
5280,37528.42857
5290,40280.42857
5291,41381.71429
5301,28847.57143
5302,35980.57143
5304,34259
5307,29379.42857
5320,35367.71429
5322,33406.28571
5330,35408.71429
5332,34718.71429
5333,36974
5340,35654.42857
5341,35128.28571
5342,37155.28571
5343,37426.42857
5344,34847.85714
5345,36623.71429
5350,44599.8
5351,42327.14286
5352,42208.71429
5353,38310
5355,41914.85714
5356,37836
5357,32941.66667
5360,42728.57143
5371,41445.71429
5372,42989.85714
5373,38603
5374,32220.85714
5381,23000.5
5400,41210.85714
5401,40133.42857
5412,36146.42857
5413,31008
5417,34972.85714
5422,33496.71429
5431,33622.57143
5433,39654.71429
5434,37499.57143
5451,36321.57143
5452,35753.28571
5453,38953
5454,33351.42857
5460,35548.14286
5461,37972.14286
5462,37840.57143
5464,37972.57143
5473,35413.42857
5480,34998.85714
5481,28972.71429
5482,32421.57143
5483,37464
5485,38926.71429
5491,39975
5495,39842.8
5501,41904
5502,40052.57143
5520,36449.85714
5522,34656.28571
5523,40480
5540,38281.85714
5550,37593.14286
5554,38928.71429
5555,38729.42857
5556,33860.42857
5558,33856.28571
5560,41388.14286
5570,35425
5571,34592.85714
5573,37349.57143
5575,32224.28571
5576,33294
5577,28880.71429
5580,35840.2
5581,31289.71429
5582,34003.85714
5583,28921
5600,49733.42857
5602,36027.85714
5603,37561.57143
5605,34989.14286
5606,39620.71429
5607,36998.28571
5608,42300.71429
5609,54638.57143
5631,41642.71429
5633,35688.2
5640,39427.85714
5641,37923.14286
5652,39249.14286
5670,35780.14286
5680,35015.14286
5690,40348.85714
5700,42322.71429
5710,46366.28571
5722,34799.5
5723,37254.85714
5725,79019.14286
5731,54147.33333
7000,42914.57143
7001,17935.66667
7004,42150.28571
7005,39647
7007,44867.14286
7008,43609.57143
7009,38186.42857
7010,38044.85714
7011,39850.42857
